ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
1059,会話中に選択肢を選ぶ,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,育成画面では育成コマンドを選択できる。,0.93,0,ゲームの最初にスポンサーを選択する,0.93,0,ゲームの最初に育成対象キャラクターを選ぶ,0.93
1060,選択肢の結果によって育成対象キャラクターのモチベーションが変化する,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,育成期間終了時のパラメータによって育成対象キャラクターのエンディングが変化する,0.96,0,育成コマンドの成否によって育成対象キャラクターのワイプの顔が変化する。,0.96,0,ミニゲームの結果に応じて育成対象キャラクターのコメントが変化,0.96
1061,選択肢を選ぶときに時間制限がある,アイドルマスター,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,時期イベントの選択肢決定には制限時間がある,0.95,5,操作には制限時間がある,0.92,5,クイズには1問ごとに制限時間がある,0.92
1062,スケジュール選択の前に衣装と歌を決められる,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ゲームの最初にユニフォームと旗のデザインを決める,0.93,0,ゲームの最初に育成対象キャラクターの名前を決める。,0.91,0,ゲームの最初にクラブの名前を決める,0.91
1063,スケジュール選択では以下の4つのコマンドが選べる,アイドルマスター,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,9,厩舎では以下の4つのコマンドが選択できる。,0.98,9,メイン画面では以下の5つのコマンドが選択できる。,0.97,9,メイン画面では以下の6つのコマンドが選択できる。,0.97
1064,モチベーションとオーディションで使えるパラメータを上げるコマンド,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,モチベーションを回復してコスト系パラメータを減少させる休息コマンド,0.93,2,モチベーションとコスト系パラメータを少量回復する休息コマンド,0.93,0,営業では会話の選択肢によってモチベーションやオーディションで使えるアイテム（？）が増減する,0.92
1065,育成コマンドを選ぶコマンド,アイドルマスター,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,育成コマンドを選ぶコマンド。,0.97,0,選んだ育成コマンドを実行するコマンド,0.95,0,休息方法を選ぶコマンド,0.94
1066,ミニゲームを行ってファンを大幅に増やすコマンド（オーディション）,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ポイントを消費して育成できるキャラクターのタイプを増やせる,0.92,0,育成コマンドには所持金を増加させるものがある,0.92,0,アイテムを複数種消費して育成対象キャラクターをランダムで入手できるコマンドがある,0.92
1067,休息コマンド,アイドルマスター,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,8,休息方法を選ぶコマンド,0.86,10,コスト系パラメータを回復する休息コマンド,0.86,0,異常を回復するコマンド,0.85
1068,育成コマンドの結果はミニゲームで決まる,アイドルマスター,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,育成の様子は育成コマンドの出来によって変わる。,0.94,5,一部の時期イベントではミニゲームで勝敗が決まる。,0.94,0,時期イベントでは、育成対象キャラクターのパラメータによって結果が変わる。,0.93
1069,育成コマンドの結果によってパラメータの増加量が変わる,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,パラメータによって育成コマンドの内容が増減する。,0.97,0,イベントの結果によってパラメータや関係度が増減する。,0.96,0,休息コマンドの内容は育成対象キャラクターのパラメータによって変化する。,0.96
1070,育成コマンドのミニゲーム中結果に応じて育成対象キャラクターの3Dモデルが動く,アイドルマスター,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,ミニゲームの結果に応じて育成対象キャラクターのコメントが変化,0.96,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.95,5,育成コマンドの成否によって育成対象キャラクターのワイプの顔が変化する。,0.95
1071,ランダムで選べない育成コマンドがある,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ランダムで育成コマンドをサボることがある,0.95,0,ロスト中は見つかるまで育成コマンドが選択できない,0.93,0,育成コマンドにはランダム要素がある,0.93
1072,営業では会話の選択肢によってモチベーションやオーディションで使えるアイテム（？）が増減する,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,イベントでは選択肢によってパラメータが変化する,0.94,0,イベントでは、会話の選択肢によって、関係度が増減する,0.94,0,会話の選択肢によって関係度が増減する,0.94
1073,オーディションのミニゲームの結果はパラメータとモチベーションにも影響される,アイドルマスター,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,打席での性能は育成対象キャラクターのパラメータとモチベーションに依存する。,0.94,9,ミニゲームの出来にはパラメータが関係する,0.93,0,育成コマンドの成否はパラメータに左右される,0.93
1074,オーディション中は育成対象キャラクターの歌う姿が表示される,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,メイン画面では育成対象キャラクターの立ち絵が表示される,0.96,0,メイン画面では育成対象キャラクターの能力が表示される,0.96,0,メイン画面では育成対象キャラクターの名前が表示される,0.95
1075,オーディションに成功するとファンが大幅に増える,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,オーディションに成功すると、育成対象キャラクターが番組で歌う姿が表示される。,0.92,0,育成コマンドのレベルが上昇すると、獲得できるポイントが増える,0.91,0,戦闘で捕獲する場合、捕獲どうぐのグレードに応じて成功率が上昇する,0.9
1076,オーディションに成功すると育成対象キャラクターが番組で歌う姿が表示される,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,オーディション成功時、育成対象キャラクターが番組で歌う姿を記録することができる,0.97,0,オーディション中は育成対象キャラクターの歌う姿が表示される。,0.95,0,育成画面では、育成対象キャラクターのモチベーションが顔文字で表示される。,0.95
1077,休息コマンドは翌日のモチベーションを上げる,アイドルマスター,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,休息コマンドには、モチベーションを回復するものがある,0.94,0,休息コマンドは、パラメータを下げて、コスト系パラメータを上げる。,0.92,0,育成コマンドは、パラメータの上げ具合とモチベーションの変動、負担の強さを選択して行う。,0.92
1078,休息コマンドはイベントが発生する,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,10,休息コマンドではイベントが発生する,0.97,0,育成コマンド実行中にイベントが発生する。,0.93,0,マップ移動およびイベント中にバトルが発生する,0.93
1079,画面の真ん中には育成対象キャラクターの3Dモデルが表示されている,アイドルマスター,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,画面の右上には育成対象キャラクターのパラメータが表示されている,0.98,9,メイン画面には育成対象キャラクターの立ち絵が表示されている,0.97,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.97
1080,画面の左上には日付が表示されている,アイドルマスター,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,10,画面には日付が表示されている,0.98,10,メイン画面には日付が表示されている,0.97,0,画面の右上には育成対象キャラクターのパラメータが表示されている,0.97
1081,画面の右上には育成対象キャラクターのパラメータが表示されている,アイドルマスター,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.98,10,育成画面には育成対象キャラクターのパラメータが表示されている,0.98,0,画面の真ん中には育成対象キャラクターの3Dモデルが表示されている,0.98
1082,パラメータは円の大きさで表示されている,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,各パラメーターはゲージで表示されている,0.95,0,パラメータはテキストで表現されている,0.95,0,パーティ画面では各キャラクターの関係度が表示されている,0.93
1083,1日の終わりにセーブができる,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ゲームの最初にアイテムの持ち込みができる,0.93,0,ゲームの最初にセーブデータを作成する,0.92,0,ゲームの最初にアイテムを装備することができる,0.92
1084,1日の終わりには現在のアイドルランクが表示される,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,メイン画面には月の何週目かが表示されている,0.93,0,メイン画面では現在の日付が表示される,0.93,0,画面上部には現在セクションの残りのターン数が表示される,0.93
1085,ランダムで育成コマンドをサボることがある,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ランダムで選べない育成コマンドがある,0.95,0,育成対象キャラクターが特定育成コマンド実行を提案してくることがある,0.94,0,特訓コマンド終了時にアイテムを獲得する場合がある,0.94
1086,オーディション成功時ランダムでパラメータ上昇期間に入ることがある,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,特訓コマンド終了時にアイテムを獲得する場合がある,0.94,0,選択肢に応じてパラメータを獲得できる場合がある,0.94,0,成功時はパラメータが上昇する,0.93
1087,オーディション時モチベーションを使用してパラメータを上昇させることができる,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,ランダムでイベントが発生し、パラメータやコスト系パラメータ、モチベーションを増減させる。,0.94,0,専用アイテムを使用することで成長速度を上げることができる,0.94,0,能力アップでは経験値を使って、育成対象キャラクターのパラメータを上昇できる,0.94
1088,オーディション成功時育成対象キャラクターが番組で歌う姿を記録することができる,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,オーディションに成功すると、育成対象キャラクターが番組で歌う姿が表示される。,0.97,0,オーディション中は育成対象キャラクターの歌う姿が表示される。,0.94,0,オーディション成功時、ランダムでパラメータ上昇期間に入ることがある,0.93
1089,パラメータは基本値に補正値が追加された値が図として表示される,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,派遣前に上昇するパラメータの予測値が表示される,0.93,0,各パラメータごとの経験値はバーで表示される,0.93,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.93
1090,1サイクル1手番,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,１サイクルは平日１手番と休日２手番,0.88,2,1サイクルは、休日1手番と、平日2手番ある。,0.84,2,1サイクルは、平日(6日)が1手番、休日(1日)が1手番ある。,0.81
1091,育成対象キャラクターが複数いる,アイドルマスター,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
1092,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1093,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1094,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1095,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1096,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1097,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1098,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1099,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1101,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1102,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1103,,ウイニングポストワールド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1104,育成モードが複数ある,ウイニングポストワールド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,育成コマンドが複数種ある,0.95,0,育成対象キャラが複数いる,0.92,0,育成モードとは別に対戦モードがある,0.92
1105,第1ゲームはシナリオ育成,ウイニングポストワールド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,第二ゲームは第一ゲームの育成キャラクターを編成,0.92,0,第二ゲームには練習コマンドがない,0.9,0,第二ゲームには育成期間の制限がない,0.89
1106,育成対象キャラクターとプレイヤーキャラクターは同1,ウイニングポストワールド,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,5,育成対象キャラクターとプレイヤーキャラクターは一部同一,0.99,0,育成対象キャラクターと攻略対象キャラクターは一致しない,0.95,0,育成コマンド実行中は育成対象キャラクターのSDキャラクターが登場する,0.92
1107,ゲームの最初に育成対象キャラクターの性別を設定する,ウイニングポストワールド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,ゲームの最初に育成対象キャラクターのタイプを決める,0.98,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98,0,ゲームの最初に育成対象キャラクターの一人称を決める,0.98
